"Genotype","Run","Treatment","Composite_Week3","Composite_Week6","Composite_Score_Weighted"
"CN 105339","Run2","Saline",0.0321947724111423,0.29230185896167,0.188259024341459
"CN 107755","Run2","Saline",-0.106622811927704,0.372093040729396,0.180606699666556
"CN 105312","Run2","Saline",0.259322872398258,0.127109303474916,0.179994731044253
"CN 105305","Run2","Saline",0.184588426248274,0.176179347520762,0.179542979011767
"CN 105311","Run2","Saline",0.00355309554604407,0.289196810775148,0.174939324683507
"CN 105370","Run2","Saline",0.434146165518079,-0.00299420489964413,0.171861943267445
"CN 120259","Run2","Saline",0.0824336831279886,0.204952655002684,0.155945066252806
"CN 105285","Run2","Saline",0.353285479249123,0.0197834258370024,0.15318424720185
"CN 105366","Run2","Saline",-0.256088849726574,0.425654064444416,0.15295689877602
"CN 112912","Run2","Saline",0.147334092875266,0.152394034992748,0.150370058145755
"CN 105301","Run2","Saline",-0.119316016283188,0.324175446653296,0.146778861478702
"CN 119128","Run2","Saline",0.165557005438305,0.107702530828497,0.130844320672421
"CN 105340","Run2","Saline",0.271482318512367,0.0350587870886088,0.129628199658112
"CN 119253","Run2","Saline",-0.173988818778574,0.329702055438591,0.128225705751725
"CN 105315","Run2","Saline",-0.0208006129245004,0.226714825089353,0.127708649883812
"CN 110980","Run2","Saline",0.0643986604934223,0.168819086990791,0.127050916391843
"CN 120033","Run2","Saline",0.203669990969835,0.0692601494403712,0.123024086052157
"CN 105375","Run2","Saline",-0.072633476453315,0.244661210151221,0.117743335509406
"CN 119164","Run2","Saline",-0.0424131760393132,0.224069873055738,0.117476653417718
"CN 105297","Run2","Saline",0.0213671195372421,0.17734296933502,0.114952629415909
"CN 107761","Run2","Saline",0.192650839431487,0.0611567838711097,0.11375440609526
"CN 105359","Run2","Saline",0.322530371183033,-0.0256360782431425,0.113630501527328
"CN 119142","Run2","Saline",0.233027844790839,0.0335465444341298,0.113339064576813
"CN 105342","Run2","Saline",0.068363605412776,0.140252220189421,0.111496774278763
"CN 105385","Run2","Saline",-0.061719347373852,0.222782892546411,0.108981996578306
"CN 113261","Run2","Saline",0.208519775759035,0.0424949129634327,0.108904858081673
"CN 105350","Run2","Saline",-0.242109983770031,0.34251132304616,0.108662800319684
"CN 105389","Run2","Saline",0.532748895392177,-0.175072714894178,0.108055929220364
"CN 105345","Run2","Saline",-0.107960903815531,0.251935974865571,0.10797722339313
"CN 105302","Run2","Saline",0.307000906353502,-0.0260086861945907,0.107195150824646
"CN 119169","Run2","Saline",0.1305797421946,0.0865811244762098,0.104180571563566
"CN 107733","Run2","Saline",0.277745985171928,-0.0154720027585935,0.101815192413615
"CN 105358","Run2","Saline",-0.159964358683394,0.2751617854842,0.101111327817163
"CN 119160","Run2","Saline",0.425447605814796,-0.115645547408189,0.100791713881005
"CN 105349","Run2","Saline",0.114959450328603,0.0900659893699425,0.100023373753407
"CN 105295","Run2","Saline",-0.152777727375163,0.262239626156139,0.096232684743618
"CN 119150","Run2","Saline",-0.0428102565030512,0.188915567660463,0.0962252379950574
"CN 110992","Run2","Saline",0.105386910957043,0.079554452994414,0.0898874361794657
"CN 110995","Run2","Saline",0.222982391140556,-0.00227874800279109,0.0878257076545477
"CN 105293","Run2","Saline",-0.193008084687387,0.262869786135181,0.0805186378061534
"CN 105357","Run2","Saline",0.224188872352423,-0.0156956326684759,0.0802581693398837
"CN 105328","Run2","Saline",0.376557874226763,-0.120288661073293,0.0784499530467293
"CN 105382","Run2","Saline",0.0128865573903148,0.121683414227707,0.0781646714927498
"CN 119122","Run2","Saline",0.39708250919701,-0.137923632015228,0.0760788244696674
"CN 110979","Run2","Saline",-0.00118926115365027,0.115610718486178,0.0688907266302465
"CN 119167","Run2","Saline",-0.0945890328786976,0.174670928103522,0.0669669437106339
"CN 112914","Run2","Saline",-0.124722236966945,0.187010559544218,0.0623174409397528
"CN 105317","Run2","Saline",0.138305731268773,0.00960281840511593,0.0610839835505788
"CN 105338","Run2","Saline",0.195131317375651,-0.0285460240847846,0.0609249124993896
"CN 112911","Run2","Saline",-0.162252233182849,0.208391517236802,0.0601340170689414
"CN 105282","Run2","Saline",-0.113472631070595,0.158245076683054,0.0495579935815942
"CN 110978","Run2","Saline",-0.14542741873826,0.178940039334775,0.0491930561055609
"CN 105333","Run2","Saline",0.30207689223434,-0.121469602007037,0.0479489956895141
"CN 119149","Run2","Saline",0.0487545979614395,0.0448696200185759,0.0464236111957214
"CN 119153","Run2","Saline",0.258972290769285,-0.0953392695767322,0.0463853545616746
"CN 105383","Run2","Saline",-0.0229301676820645,0.0925363610452814,0.046349749554343
"CN 105341","Run2","Saline",0.0387380916812233,0.0507704332938069,0.0459574966487734
"CN 110989","Run2","Saline",0.226047525038551,-0.0791339043821485,0.0429386673861314
"CN 110973","Run2","Saline",-0.0554784464047815,0.104969458588078,0.0407902965909343
